                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.0956,                0.47741,                 1.0576,                0.95828,                 0.9402,                0.97953,                0.68582,                 1.1467,                0.47364,                 1.1264,              0.0069805,              0.0069805,              0.0069805
                    124,                 1.0651,                0.47189,                 1.0362,                0.96071,                 0.9386,                0.97925,                0.68753,                 1.1488,                0.47397,                 1.1301,              0.0069558,              0.0069558,              0.0069558
                    125,                 1.0653,                0.46216,                 1.0712,                0.96296,                0.93399,                0.97833,                0.69364,                 1.1266,                0.47107,                 1.1247,               0.006931,               0.006931,               0.006931
                    126,                 1.0742,                0.47533,                 1.0594,                0.96108,                0.93663,                0.97907,                0.69084,                 1.1281,                0.47107,                 1.1212,              0.0069063,              0.0069063,              0.0069063
                    127,                 1.0858,                0.48537,                 1.0732,                0.96425,                0.93353,                 0.9787,                0.69013,                 1.1366,                0.47426,                 1.1292,              0.0068815,              0.0068815,              0.0068815
                    128,                 1.1134,                  0.523,                 1.0934,                0.96218,                0.92974,                0.97729,                0.68755,                 1.1426,                0.47996,                 1.1364,              0.0068568,              0.0068568,              0.0068568
                    129,                 1.0615,                0.47085,                 1.0559,                0.96383,                0.93131,                0.97744,                0.68335,                 1.1506,                0.48037,                 1.1343,               0.006832,               0.006832,               0.006832
                    130,                 1.0727,                0.46903,                 1.0808,                0.96727,                0.92781,                0.97758,                0.68926,                 1.1402,                0.47437,                 1.1352,              0.0068073,              0.0068073,              0.0068073
                    131,                 1.0653,                 0.4676,                 1.0725,                0.96532,                 0.9326,                0.97881,                0.68789,                 1.1384,                0.47476,                 1.1368,              0.0067825,              0.0067825,              0.0067825
                    132,                 1.1035,                0.48426,                 1.0644,                0.96847,                0.93483,                0.98065,                0.69358,                 1.1167,                0.46863,                 1.1168,              0.0067577,              0.0067577,              0.0067577
                    133,                 1.0942,                0.47081,                 1.0607,                0.96596,                0.93661,                 0.9811,                0.69567,                 1.1233,                0.46234,                 1.1185,               0.006733,               0.006733,               0.006733
                    134,                 1.0598,                0.46486,                 1.0534,                0.96333,                0.94025,                0.98083,                0.69995,                 1.1139,                0.46594,                 1.1148,              0.0067082,              0.0067082,              0.0067082
                    135,                 1.0724,                0.46887,                  1.061,                0.96581,                0.93753,                0.98114,                0.69983,                 1.1144,                 0.4643,                 1.1149,              0.0066835,              0.0066835,              0.0066835
                    136,                  1.051,                0.45619,                 1.0435,                0.96015,                0.93849,                0.97881,                0.69141,                 1.1304,                0.47344,                 1.1266,              0.0066587,              0.0066587,              0.0066587
                    137,                 1.0814,                0.47947,                 1.0713,                0.96682,                 0.9336,                0.98011,                0.69528,                 1.1144,                 0.4673,                 1.1182,               0.006634,               0.006634,               0.006634
                    138,                 1.0779,                 0.4607,                 1.0828,                0.96625,                 0.9371,                0.98008,                0.69146,                 1.1258,                0.46327,                 1.1224,              0.0066092,              0.0066092,              0.0066092
                    139,                 1.0846,                0.46769,                 1.0889,                 0.9612,                0.93742,                0.97862,                0.68871,                 1.1321,                0.46933,                 1.1235,              0.0065845,              0.0065845,              0.0065845
                    140,                 1.0637,                0.46596,                 1.0552,                0.95974,                0.93498,                0.97766,                0.69144,                  1.114,                0.46754,                  1.118,              0.0065598,              0.0065598,              0.0065598
                    141,                  1.076,                0.46657,                  1.078,                0.96512,                0.93817,                0.97981,                0.69839,                 1.1164,                0.46625,                 1.1173,               0.006535,               0.006535,               0.006535
                    142,                 1.0665,                0.49117,                  1.054,                0.96225,                0.93143,                0.97718,                0.68436,                 1.1529,                0.47979,                 1.1441,              0.0065102,              0.0065102,              0.0065102
                    143,                 1.0506,                0.46225,                 1.0461,                0.96284,                0.93578,                 0.9791,                0.69075,                  1.134,                0.46495,                 1.1311,              0.0064855,              0.0064855,              0.0064855
                    144,                 1.0743,                 0.4683,                 1.0461,                0.96228,                0.94042,                0.97983,                0.69197,                   1.12,                0.46236,                  1.116,              0.0064608,              0.0064608,              0.0064608
                    145,                  1.058,                0.45545,                 1.0491,                0.96316,                0.94096,                0.98019,                0.69229,                 1.1224,                0.45812,                 1.1189,               0.006436,               0.006436,               0.006436
                    146,                 1.0866,                0.47269,                 1.0783,                0.96629,                0.93474,                0.97933,                0.69796,                 1.1104,                   0.46,                 1.1163,              0.0064112,              0.0064112,              0.0064112
                    147,                 1.0797,                0.46813,                 1.0614,                0.96366,                0.93495,                0.97913,                0.69436,                 1.1177,                0.46278,                 1.1232,              0.0063865,              0.0063865,              0.0063865
                    148,                  1.085,                0.46506,                 1.0668,                0.96596,                 0.9397,                0.98134,                0.69811,                 1.1068,                0.45848,                 1.1094,              0.0063618,              0.0063618,              0.0063618
                    149,                 1.0883,                0.48762,                 1.0547,                0.95688,                0.93678,                0.97853,                0.68904,                 1.1387,                0.46703,                 1.1376,               0.006337,               0.006337,               0.006337
                    150,                 1.0447,                0.45523,                 1.0428,                0.96422,                0.93858,                0.97968,                0.69119,                 1.1278,                0.45889,                  1.125,              0.0063122,              0.0063122,              0.0063122
                    151,                 1.0316,                0.44241,                 1.0534,                0.96763,                 0.9385,                0.98043,                0.69378,                 1.1245,                0.45452,                 1.1234,              0.0062875,              0.0062875,              0.0062875
